    INFO: 2026-01-30 00:08:34,986:               log.py:   20: Logging to /home/clawdbot/clawd/mdpdf.log
   DEBUG: 2026-01-30 00:08:34,987:               cli.py:  103: /home/clawdbot/clawd/tmp/setup-guide.md
    INFO: 2026-01-30 00:08:35,099:         converter.py:   14: /home/clawdbot/clawd/tmp/setup-guide.md
   DEBUG: 2026-01-30 00:08:35,247:      pdf_renderer.py:  470: printSegment: Setup Pi Nuevo — Guía de instalación
   DEBUG: 2026-01-30 00:08:35,456:      pdf_renderer.py:  470: printSegment: Guía de disaster recovery para Raspberry Pi con Clawdbot
   DEBUG: 2026-01-30 00:08:35,517:      pdf_renderer.py:  470: printSegment: 12. Instalar Clawdbot
   DEBUG: 2026-01-30 00:08:35,523:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,541:      pdf_renderer.py:  470: printSegment: npm install -g clawdbot
   DEBUG: 2026-01-30 00:08:35,579:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,596:      pdf_renderer.py:  470: printSegment: clawdbot configure
   DEBUG: 2026-01-30 00:08:35,603:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,611:      pdf_renderer.py:  470: printSegment: Vincular WhatsApp (QR)
   DEBUG: 2026-01-30 00:08:35,618:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,627:      pdf_renderer.py:  470: printSegment: Verificar gateway: clawdbot status
   DEBUG: 2026-01-30 00:08:35,640:      pdf_renderer.py:  470: printSegment: 11. Verificar red
   DEBUG: 2026-01-30 00:08:35,647:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,657:      pdf_renderer.py:  470: printSegment: WiFi: potato (potato07) / patata (patata07)
   DEBUG: 2026-01-30 00:08:35,664:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,674:      pdf_renderer.py:  470: printSegment: eth0 esperado: 192.168.86.x
   DEBUG: 2026-01-30 00:08:35,682:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,692:      pdf_renderer.py:  470: printSegment: Verificar Tailscale: tailscale status
   DEBUG: 2026-01-30 00:08:35,699:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,709:      pdf_renderer.py:  470: printSegment: Verificar Syncthing: curl localhost:8384
   DEBUG: 2026-01-30 00:08:35,723:      pdf_renderer.py:  470: printSegment: 10. Restaurar 1Password config desde SSD
   DEBUG: 2026-01-30 00:08:35,730:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,739:      pdf_renderer.py:  470: printSegment: mkdir -p ~/.config/op 
   DEBUG: 2026-01-30 00:08:35,746:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-01-30 00:08:35,753:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-01-30 00:08:35,762:      pdf_renderer.py:  470: printSegment:  chmod 700 ~/.config/op
   DEBUG: 2026-01-30 00:08:35,772:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,784:      pdf_renderer.py:  470: printSegment: cp /media/clawdbot/ssd/backup/config/op/
   DEBUG: 2026-01-30 00:08:35,792:      pdf_renderer.py:  470: printSegment: *
   DEBUG: 2026-01-30 00:08:35,800:      pdf_renderer.py:  470: printSegment:  ~/.config/op/
   DEBUG: 2026-01-30 00:08:35,807:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,815:      pdf_renderer.py:  470: printSegment: Probar: op vault list
   DEBUG: 2026-01-30 00:08:35,829:      pdf_renderer.py:  470: printSegment: 9. Configurar backup diario
   DEBUG: 2026-01-30 00:08:35,836:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,847:      pdf_renderer.py:  470: printSegment: chmod +x ~/clawd/scripts/backup.sh
   DEBUG: 2026-01-30 00:08:35,854:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-01-30 00:08:35,863:      pdf_renderer.py:  470: printSegment: crontab -e → agregar: 0 3 
